month,finance
2004-01,46
2004-02,46
2004-03,41
2004-04,44
2004-05,43
2004-06,44
2004-07,43
2004-08,43
2004-09,45
2004-10,42
2004-11,41
2004-12,39
2005-01,43
2005-02,46
2005-03,44
2005-04,45
2005-05,43
2005-06,44
2005-07,44
2005-08,44
2005-09,44
2005-10,43
2005-11,42
2005-12,38
2006-01,45
2006-02,44
2006-03,48
2006-04,46
2006-05,45
2006-06,44
2006-07,44
2006-08,44
2006-09,46
2006-10,47
2006-11,45
2006-12,39
2007-01,48
2007-02,50
2007-03,48
2007-04,48
2007-05,47
2007-06,45
2007-07,50
2007-08,52
2007-09,50
2007-10,52
2007-11,50
2007-12,43
2008-01,52
2008-02,50
2008-03,50
2008-04,53
2008-05,48
2008-06,49
2008-07,51
2008-08,48
2008-09,62
2008-10,73
2008-11,57
2008-12,52
2009-01,55
2009-02,58
2009-03,59
2009-04,59
2009-05,54
2009-06,55
2009-07,56
2009-08,57
2009-09,59
2009-10,55
2009-11,52
2009-12,46
2010-01,53
2010-02,52
2010-03,54
2010-04,57
2010-05,54
2010-06,53
2010-07,50
2010-08,50
2010-09,53
2010-10,51
2010-11,48
2010-12,44
2011-01,49
2011-02,48
2011-03,52
2011-04,49
2011-05,49
2011-06,47
2011-07,48
2011-08,56
2011-09,52
2011-10,49
2011-11,46
2011-12,42
2012-01,45
2012-02,47
2012-03,47
2012-04,45
2012-05,47
2012-06,44
2012-07,43
2012-08,44
2012-09,45
2012-10,45
2012-11,43
2012-12,38
2013-01,46
2013-02,46
2013-03,45
2013-04,46
2013-05,47
2013-06,44
2013-07,45
2013-08,46
2013-09,46
2013-10,48
2013-11,43
2013-12,40
2014-01,47
2014-02,47
2014-03,47
2014-04,45
2014-05,44
2014-06,44
2014-07,45
2014-08,44
2014-09,50
2014-10,48
2014-11,43
2014-12,42
2015-01,44
2015-02,46
2015-03,46
2015-04,46
2015-05,43
2015-06,46
2015-07,46
2015-08,48
2015-09,48
2015-10,45
2015-11,42
2015-12,40
2016-01,43
2016-02,46
2016-03,43
2016-04,43
2016-05,42
2016-06,45
2016-07,42
2016-08,42
2016-09,43
2016-10,41
2016-11,43
2016-12,38
2017-01,43
2017-02,44
2017-03,46
2017-04,41
2017-05,43
2017-06,42
2017-07,43
2017-08,44
2017-09,46
2017-10,47
2017-11,48
2017-12,52
2018-01,54
2018-02,50
2018-03,48
2018-04,47
2018-05,46
2018-06,43
2018-07,45
2018-08,46
2018-09,47
2018-10,49
2018-11,43
2018-12,41
2019-01,46
2019-02,46
2019-03,46
2019-04,44
2019-05,47
2019-06,46
2019-07,48
2019-08,55
2019-09,49
2019-10,51
2019-11,49
2019-12,47
2020-01,54
