epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,2.3730318546295166,
0,99,,1.8762741088867188,
0,149,,1.6923229694366455,
0,193,,,6.028674125671387
0,193,5.5680389404296875,,
1,199,,1.4540222883224487,
1,249,,0.34189125895500183,
1,299,,0.17950507998466492,
1,349,,0.10165184736251831,
1,387,,,1.0061721801757812
1,387,0.35000506043434143,,
2,399,,0.0988706722855568,
2,449,,0.0840628445148468,
2,499,,0.12131054699420929,
2,549,,0.06591380387544632,
2,581,,,0.9888694882392883
2,581,0.09330999106168747,,
3,599,,0.09224677830934525,
3,649,,0.08161678165197372,
3,699,,0.07902002334594727,
3,749,,0.12421001493930817,
3,775,,,1.0149174928665161
3,775,0.09238079190254211,,
4,799,,0.05280207097530365,
4,849,,0.07385189831256866,
4,899,,0.07083043456077576,
4,949,,0.11362448334693909,
4,969,,,1.0261677503585815
4,969,0.0926574096083641,,
5,999,,0.11876381933689117,
5,1049,,0.08688849210739136,
5,1099,,0.08771272748708725,
5,1149,,0.07323990762233734,
5,1163,,,0.9917421340942383
5,1163,0.09235808253288269,,
6,1199,,0.06389808654785156,
6,1249,,0.09062917530536652,
6,1299,,0.029426489025354385,
6,1349,,0.05404205620288849,
6,1357,,,0.7121156454086304
6,1357,0.0873430147767067,,
7,1399,,0.027893230319023132,
7,1449,,0.04579237848520279,
7,1499,,0.026453692466020584,
7,1549,,0.022782951593399048,
7,1551,,,0.6583940386772156
7,1551,0.03025880828499794,,
8,1599,,0.03871898353099823,
8,1649,,0.01597614958882332,
8,1699,,0.037036485970020294,
8,1745,,,0.6911114454269409
8,1745,0.03034174256026745,,
9,1749,,0.021352238953113556,
9,1799,,0.019317567348480225,
9,1849,,0.04606825113296509,
9,1899,,0.029017526656389236,
9,1939,,,0.3778901994228363
9,1939,0.02895435132086277,,
10,1949,,0.02009895071387291,
10,1999,,0.00037325985613279045,
10,2049,,0.00028205642593093216,
10,2099,,0.0008279237663373351,
10,2133,,,0.059142474085092545
10,2133,0.002413615584373474,,
11,2149,,0.0003240664373151958,
11,2199,,0.0005891602486371994,
11,2249,,0.0002659012970980257,
11,2299,,0.00038694310933351517,
11,2327,,,0.028046000748872757
11,2327,0.00042095337994396687,,
12,2349,,0.0003627030528150499,
12,2399,,0.0003353151259943843,
12,2449,,0.0002681825135368854,
12,2499,,0.0002660258032847196,
12,2521,,,0.02188556268811226
12,2521,0.0004082631494384259,,
13,2549,,0.00036005626316182315,
13,2599,,0.00027308458811603487,
13,2649,,0.0002150184300262481,
13,2699,,0.0003745987778529525,
13,2715,,,0.01984279416501522
13,2715,0.0003742090775631368,,
14,2749,,0.0005314670852385461,
14,2799,,0.0009126426884904504,
14,2849,,0.00030041500576771796,
14,2899,,0.00045909167965874076,
14,2909,,,0.018857276067137718
14,2909,0.0004473853623494506,,
15,2949,,0.000254576065344736,
15,2999,,0.00026147946482524276,
15,3049,,0.000620839768089354,
15,3099,,0.0005268585518933833,
15,3103,,,0.018010413274168968
15,3103,0.0004479010822251439,,
16,3149,,0.00028148750425316393,
16,3199,,0.0002705766528379172,
16,3249,,0.0014860146911814809,
16,3297,,,0.01737186312675476
16,3297,0.0004589879245031625,,
17,3299,,0.0003194593882653862,
17,3349,,0.00034261454129591584,
17,3399,,0.0005256258882582188,
17,3449,,0.0007302643498405814,
17,3491,,,0.016654115170240402
17,3491,0.00041678373236209154,,
18,3499,,0.00028009392553940415,
18,3549,,0.0013102310476824641,
18,3599,,0.00022382562747225165,
18,3649,,0.0004108802822884172,
18,3685,,,0.016312474384903908
18,3685,0.0004076621844433248,,
19,3699,,0.00033817492658272386,
19,3749,,0.00027327018324285746,
19,3799,,0.0006914169061928988,
19,3849,,0.0005832084571011364,
19,3879,,,0.015965115278959274
19,3879,0.000509804580360651,,
20,3899,,0.00028445833595469594,
20,3949,,0.0002636877470649779,
20,3999,,0.00037052505649626255,
20,4049,,0.00041419215267524123,
20,4073,,,0.017297742888331413
20,4073,0.0004261308058630675,,
21,4099,,0.0008997706463560462,
21,4149,,0.0005634580156765878,
21,4199,,0.0007052337168715894,
21,4249,,0.00016433035489171743,
21,4267,,,0.014955970458686352
21,4267,0.0004993603215552866,,
22,4299,,0.00034979020711034536,
22,4349,,0.00036298861959949136,
22,4399,,0.0003220893268007785,
22,4449,,0.00035960960667580366,
22,4461,,,0.01533405389636755
22,4461,0.0004855547449551523,,
23,4499,,0.00031995755853131413,
23,4549,,0.00027882479480467737,
23,4599,,0.0001862239878391847,
23,4649,,0.0003464522596914321,
23,4655,,,0.01363550778478384
23,4655,0.0003870836226269603,,
24,4699,,0.0005679797613993287,
24,4749,,0.000465261226054281,
24,4799,,0.00037369431811384857,
24,4849,,0.00022613548208028078,
24,4849,,,0.013464905321598053
24,4849,0.00040997497853823006,,
25,4899,,0.0008272007689811289,
25,4949,,0.000518047483637929,
25,4999,,0.0005712324054911733,
25,5043,,,0.012613389641046524
25,5043,0.0003814123338088393,,
26,5049,,0.0006448617205023766,
26,5099,,0.0003102049231529236,
26,5149,,0.00029123833519406617,
26,5199,,0.0003303430275991559,
26,5237,,,0.012546898797154427
26,5237,0.00045158108696341515,,
27,5249,,0.00037846722989343107,
27,5299,,0.0002689628745429218,
27,5349,,0.0005859164521098137,
27,5399,,0.00019264059665147215,
27,5431,,,0.0122347641736269
27,5431,0.00047326029743999243,,
28,5449,,0.0005096979439258575,
28,5499,,0.0011343874502927065,
28,5549,,0.00021447407198138535,
28,5599,,0.0006682508392259479,
28,5625,,,0.013379291631281376
28,5625,0.0006002415320836008,,
29,5649,,0.0002784436219371855,
29,5699,,0.0006175487069413066,
29,5749,,0.0002742829092312604,
29,5799,,0.001852099085226655,
29,5819,,,0.0133355762809515
29,5819,0.00044695771066471934,,
30,5849,,0.0002477416710462421,
30,5899,,0.0002496110973879695,
30,5949,,0.00024148914963006973,
30,5999,,0.00016461260383948684,
30,6013,,,0.012031191028654575
30,6013,0.0004329065268393606,,
31,6049,,0.00019729198538698256,
31,6099,,0.0003951021935790777,
31,6149,,0.00045628720545209944,
31,6199,,0.0003021886805072427,
31,6207,,,0.010170978493988514
31,6207,0.0003552447888068855,,
32,6249,,0.00036801592796109617,
32,6299,,0.0011902907863259315,
32,6349,,0.00030706782126799226,
32,6399,,0.0002817027270793915,
32,6401,,,0.01062958873808384
32,6401,0.00045879167737439275,,
33,6449,,0.001079590991139412,
33,6499,,0.00014882971299812198,
33,6549,,0.0004937713965773582,
33,6595,,,0.009734753519296646
33,6595,0.0004165005520917475,,
34,6599,,0.00019817620341200382,
34,6649,,0.0005273942369967699,
34,6699,,0.00031638468499295413,
34,6749,,0.0005115613457746804,
34,6789,,,0.00868840143084526
34,6789,0.0003851449873764068,,
35,6799,,0.00025490159168839455,
35,6849,,0.0005455585778690875,
35,6899,,0.00021024253510404378,
35,6949,,0.00017083765123970807,
35,6983,,,0.009283235296607018
35,6983,0.0004974090843461454,,
36,6999,,0.0004193401546217501,
36,7049,,0.0003405315219424665,
36,7099,,0.0002916105731856078,
36,7149,,0.00028652671608142555,
36,7177,,,0.0088398652151227
36,7177,0.00036567376810126007,,
37,7199,,0.0013076979666948318,
37,7249,,0.00021424723672680557,
37,7299,,0.00036157044814899564,
37,7349,,0.00015309797890949994,
37,7371,,,0.00760074146091938
37,7371,0.000389929540688172,,
38,7399,,0.0003468472568783909,
38,7449,,0.00016312309890054166,
38,7499,,0.0002503420109860599,
38,7549,,0.0005096248351037502,
38,7565,,,0.00823257490992546
38,7565,0.00039958980050869286,,
39,7599,,0.00027270577265881,
39,7649,,0.0004731725202873349,
39,7699,,0.0007798168808221817,
39,7749,,0.0008527534664608538,
39,7759,,,0.007516458164900541
39,7759,0.0003884401230607182,,
40,7799,,0.0005516883684322238,
40,7849,,0.000839920889120549,
40,7899,,0.00022446076036430895,
40,7949,,0.0006210948922671378,
40,7953,,,0.006128700915724039
40,7953,0.0003723714908119291,,
41,7999,,0.0005216445424593985,
41,8049,,0.00034995266469195485,
41,8099,,0.00028984423261135817,
41,8147,,,0.0063109188340604305
41,8147,0.0003758122038561851,,
42,8149,,0.00021221261704340577,
42,8199,,0.00011973452637903392,
42,8249,,0.00014551995263900608,
42,8299,,0.0012882412411272526,
42,8341,,,0.005809818860143423
42,8341,0.0003651338629424572,,
43,8349,,0.0007252822979353368,
43,8399,,0.00021890911739319563,
43,8449,,0.00028059008764103055,
43,8499,,0.0005378208588808775,
43,8535,,,0.005712764337658882
43,8535,0.0003761226835194975,,
44,8549,,0.00022499207989312708,
44,8599,,0.00015396770322695374,
44,8649,,0.00032015363103710115,
44,8699,,0.00024021221906878054,
44,8729,,,0.005365543533116579
44,8729,0.0003793112700805068,,
45,8749,,0.00014338488108478487,
45,8799,,0.00046211405424401164,
45,8849,,0.0021684635430574417,
45,8899,,0.0002720346092246473,
45,8923,,,0.005741852335631847
45,8923,0.00038300201413221657,,
46,8949,,0.0002628815418574959,
46,8999,,0.00019010857795365155,
46,9049,,0.0004245681338943541,
46,9099,,0.0008491236949339509,
46,9117,,,0.005172647535800934
46,9117,0.00041162848356179893,,
47,9149,,0.0005744172376580536,
47,9199,,0.000229578377911821,
47,9249,,0.00021520673180930316,
47,9299,,0.0005995319224894047,
47,9311,,,0.005174905993044376
47,9311,0.00033745949622243643,,
48,9349,,0.00018396336236037314,
48,9399,,0.00016137046623043716,
48,9449,,0.000199943344341591,
48,9499,,0.00020929660240653902,
48,9505,,,0.005802668631076813
48,9505,0.00031502946512773633,,
49,9549,,0.0004355768614914268,
49,9599,,0.00012342380068730563,
49,9649,,0.0007652165368199348,
49,9699,,0.0001681522116996348,
49,9699,,,0.00433722510933876
49,9699,0.00037138754851184785,,
