epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,30.758636474609375,
0,99,,15.294733047485352,
0,149,,7.1312713623046875,
0,193,,,16.648223876953125
0,193,18.105133056640625,,
1,199,,3.699979305267334,
1,249,,2.962918996810913,
1,299,,2.730956554412842,
1,349,,2.842658519744873,
1,387,,,9.527251243591309
1,387,2.852550745010376,,
2,399,,2.3871235847473145,
2,449,,2.1384100914001465,
2,499,,1.7843565940856934,
2,549,,1.8368983268737793,
2,581,,,7.400942802429199
2,581,1.9985159635543823,,
3,599,,1.8207321166992188,
3,649,,1.2016873359680176,
3,699,,0.8062082529067993,
3,749,,0.9600297808647156,
3,775,,,4.742043972015381
3,775,1.114720344543457,,
4,799,,0.4702413082122803,
4,849,,0.6237204670906067,
4,899,,0.28679266571998596,
4,949,,0.2569657266139984,
4,969,,,2.8870766162872314
4,969,0.4318290650844574,,
5,999,,0.2554328739643097,
5,1049,,0.2553553581237793,
5,1099,,0.10637582093477249,
5,1149,,0.19227172434329987,
5,1163,,,1.8736984729766846
5,1163,0.19082026183605194,,
6,1199,,0.1252702921628952,
6,1249,,0.08859995752573013,
6,1299,,0.07939774543046951,
6,1349,,0.06393654644489288,
6,1357,,,1.3046573400497437
6,1357,0.08949634432792664,,
7,1399,,0.06222815811634064,
7,1449,,0.0437370128929615,
7,1499,,0.11130907386541367,
7,1549,,0.018568025901913643,
7,1551,,,1.025465965270996
7,1551,0.07121685892343521,,
8,1599,,0.05833107978105545,
8,1649,,0.03210677579045296,
8,1699,,0.0306730717420578,
8,1745,,,0.6757297515869141
8,1745,0.02985679917037487,,
9,1749,,0.03208447992801666,
9,1799,,0.020146464928984642,
9,1849,,0.01483311876654625,
9,1899,,0.01826116256415844,
9,1939,,,0.523137629032135
9,1939,0.016058551147580147,,
10,1949,,0.012009743601083755,
10,1999,,0.007375771179795265,
10,2049,,0.012836550362408161,
10,2099,,0.008206178434193134,
10,2133,,,0.4203924536705017
10,2133,0.010904456488788128,,
11,2149,,0.006694683339446783,
11,2199,,0.008252384141087532,
11,2249,,0.006796449888497591,
11,2299,,0.0075845178216695786,
11,2327,,,0.3399987518787384
11,2327,0.007519671227782965,,
12,2349,,0.006451434921473265,
12,2399,,0.008235638961195946,
12,2449,,0.005656808614730835,
12,2499,,0.005463919136673212,
12,2521,,,0.2776625454425812
12,2521,0.005286899860948324,,
13,2549,,0.005283109378069639,
13,2599,,0.0034754499793052673,
13,2649,,0.0037774245720356703,
13,2699,,0.004050258081406355,
13,2715,,,0.23077334463596344
13,2715,0.003784722648561001,,
14,2749,,0.003129788674414158,
14,2799,,0.0027877662796527147,
14,2849,,0.002495416207239032,
14,2899,,0.003330834908410907,
14,2909,,,0.19518639147281647
14,2909,0.0028489837422966957,,
15,2949,,0.002804342657327652,
15,2999,,0.003284922568127513,
15,3049,,0.0018175933510065079,
15,3099,,0.001916786888614297,
15,3103,,,0.1676034778356552
15,3103,0.0022441165056079626,,
16,3149,,0.001404796727001667,
16,3199,,0.0031930941622704268,
16,3249,,0.0020526826847344637,
16,3297,,,0.1456468254327774
16,3297,0.0018534439150243998,,
17,3299,,0.002110145054757595,
17,3349,,0.0005449911113828421,
17,3399,,0.0011656663846224546,
17,3449,,0.0022525324020534754,
17,3491,,,0.12589547038078308
17,3491,0.0015892848605290055,,
18,3499,,0.0015123069752007723,
18,3549,,0.0018764978740364313,
18,3599,,0.0021377713419497013,
18,3649,,0.001725448644720018,
18,3685,,,0.10953442007303238
18,3685,0.0013365857303142548,,
19,3699,,0.0011884733103215694,
19,3749,,0.0005480796098709106,
19,3799,,0.0005580707802437246,
19,3849,,0.0009951164247468114,
19,3879,,,0.09540900588035583
19,3879,0.0011437267530709505,,
20,3899,,0.0013316709082573652,
20,3949,,0.0010821594623848796,
20,3999,,0.0009434557287022471,
20,4049,,0.0011576074175536633,
20,4073,,,0.08305493742227554
20,4073,0.000985066290013492,,
21,4099,,0.0008821484516374767,
21,4149,,0.0003716926439665258,
21,4199,,0.0006128776003606617,
21,4249,,0.0009389221086166799,
21,4267,,,0.07402999699115753
21,4267,0.0009068131912499666,,
22,4299,,0.000837974832393229,
22,4349,,0.0009669511346146464,
22,4399,,0.000509023608174175,
22,4449,,0.0008223236654885113,
22,4461,,,0.06497064232826233
22,4461,0.0008498199167661369,,
23,4499,,0.0004336485581006855,
23,4549,,0.0006585328956134617,
23,4599,,0.0005661911563947797,
23,4649,,0.000771131191868335,
23,4655,,,0.05720718577504158
23,4655,0.0007141127134673297,,
24,4699,,0.0006730649620294571,
24,4749,,0.0008808884886093438,
24,4799,,0.0005114964442327619,
24,4849,,0.0006723629776388407,
24,4849,,,0.050812624394893646
24,4849,0.0006959100719541311,,
25,4899,,0.00044449715642258525,
25,4949,,0.0005965812015347183,
25,4999,,0.0004042359651066363,
25,5043,,,0.04514278471469879
25,5043,0.0006284718401730061,,
26,5049,,0.000490854843519628,
26,5099,,0.0006338974344544113,
26,5149,,0.0006484040059149265,
26,5199,,0.00031907932134345174,
26,5237,,,0.04039103165268898
26,5237,0.0005780886276625097,,
27,5249,,0.0006699598161503673,
27,5299,,0.0004804828786291182,
27,5349,,0.0005747737595811486,
27,5399,,0.0005034891073592007,
27,5431,,,0.03665214404463768
27,5431,0.0005737789324484766,,
28,5449,,0.0005953007494099438,
28,5499,,0.0005804838729090989,
28,5549,,0.0004166087310295552,
28,5599,,0.0005193736869841814,
28,5625,,,0.03338826075196266
28,5625,0.0005502640269696712,,
29,5649,,0.0004265102033969015,
29,5699,,0.000550398079212755,
29,5749,,0.00046359392581507564,
29,5799,,0.0002787864941637963,
29,5819,,,0.030592061579227448
29,5819,0.0005191373638808727,,
30,5849,,0.000712504843249917,
30,5899,,0.0005572026711888611,
30,5949,,0.0005254060961306095,
30,5999,,0.0004198778187856078,
30,6013,,,0.028827836737036705
30,6013,0.0005491232732310891,,
31,6049,,0.0005565743194893003,
31,6099,,0.0004317027342040092,
31,6149,,0.0004411296104080975,
31,6199,,0.00031160726211965084,
31,6207,,,0.026827968657016754
31,6207,0.0004953719908371568,,
32,6249,,0.000399949902202934,
32,6299,,0.00035563870915211737,
32,6349,,0.00039293806185014546,
32,6399,,0.0005301195778883994,
32,6401,,,0.02543325163424015
32,6401,0.00048600599984638393,,
33,6449,,0.0003977850137744099,
33,6499,,0.00045448087621480227,
33,6549,,0.0005497673992067575,
33,6595,,,0.024428240954875946
33,6595,0.0005015511414967477,,
34,6599,,0.00048584816977381706,
34,6649,,0.0005818364443257451,
34,6699,,0.00040907892980612814,
34,6749,,0.0008037951774895191,
34,6789,,,0.023616518825292587
34,6789,0.0005044135032221675,,
35,6799,,0.0005540067213587463,
35,6849,,0.0005294209695421159,
35,6899,,0.0006418861448764801,
35,6949,,0.00041404966032132506,
35,6983,,,0.022770341485738754
35,6983,0.00047033786540850997,,
36,6999,,0.0005303143989294767,
36,7049,,0.0005505362059921026,
36,7099,,0.0003328786988276988,
36,7149,,0.0004421764751896262,
36,7177,,,0.022179747000336647
36,7177,0.00048815374611876905,,
37,7199,,0.0006088697700761259,
37,7249,,0.0003524221829138696,
37,7299,,0.00027979485457763076,
37,7349,,0.00042945469613187015,
37,7371,,,0.021363303065299988
37,7371,0.00042055020458064973,,
38,7399,,0.00047693177475593984,
38,7449,,0.00031091965502128005,
38,7499,,0.00022508544498123229,
38,7549,,0.0005067228339612484,
38,7565,,,0.0208511371165514
38,7565,0.0004206048615742475,,
39,7599,,0.00032868271227926016,
39,7649,,0.000745625700801611,
39,7699,,0.0004430216795299202,
39,7749,,0.00048598775174468756,
39,7759,,,0.02015935443341732
39,7759,0.0004554419429041445,,
40,7799,,0.000416965369367972,
40,7849,,0.0003394660307094455,
40,7899,,0.0005403234390541911,
40,7949,,0.0004749152285512537,
40,7953,,,0.0197068452835083
40,7953,0.0004074995231349021,,
41,7999,,0.0005649939994327724,
41,8049,,0.0004547582066152245,
41,8099,,0.0002908259048126638,
41,8147,,,0.019111456349492073
41,8147,0.0004162341356277466,,
42,8149,,0.00030880013946443796,
42,8199,,0.00039503228617832065,
42,8249,,0.0006432397058233619,
42,8299,,0.0003816516255028546,
42,8341,,,0.018751472234725952
42,8341,0.00046782527351751924,,
43,8349,,0.0003274211485404521,
43,8399,,0.0003825895837508142,
43,8449,,0.0003991395642515272,
43,8499,,0.00030082371085882187,
43,8535,,,0.017611512914299965
43,8535,0.00041886972030624747,,
44,8549,,0.0003589381813071668,
44,8599,,0.0004638349055312574,
44,8649,,0.00032801777706481516,
44,8699,,0.0003094238636549562,
44,8729,,,0.017396830022335052
44,8729,0.0003998204483650625,,
45,8749,,0.0002331794676138088,
45,8799,,0.0004433097201399505,
45,8849,,0.0003271680325269699,
45,8899,,0.00027019320987164974,
45,8923,,,0.017216604202985764
45,8923,0.0003801400016527623,,
46,8949,,0.0011050768662244081,
46,8999,,0.0006121395854279399,
46,9049,,0.00032019492937251925,
46,9099,,0.00032210556673817337,
46,9117,,,0.01629718951880932
46,9117,0.00042217245209030807,,
47,9149,,0.0004901855136267841,
47,9199,,0.00035533419577404857,
47,9249,,0.0005458661471493542,
47,9299,,0.0003781903942581266,
47,9311,,,0.015673073008656502
47,9311,0.00039083027513697743,,
48,9349,,0.00032766355434432626,
48,9399,,0.00024591555120423436,
48,9449,,0.0004260523128323257,
48,9499,,0.0002974805247504264,
48,9505,,,0.015803277492523193
48,9505,0.00042049685725942254,,
49,9549,,0.00033004250144585967,
49,9599,,0.00024380556715186685,
49,9649,,0.00034460617462173104,
49,9699,,0.00033228404936380684,
49,9699,,,0.014784171245992184
49,9699,0.0003677782660815865,,
