epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,27.921327590942383,
0,99,,16.437416076660156,
0,149,,5.610690116882324,
0,193,,,14.646178245544434
0,193,16.834741592407227,,
1,199,,3.077693462371826,
1,249,,2.4376320838928223,
1,299,,2.313074827194214,
1,349,,1.8567222356796265,
1,387,,,7.653731346130371
1,387,2.331690788269043,,
2,399,,1.8717732429504395,
2,449,,1.8359439373016357,
2,499,,1.736626148223877,
2,549,,1.747861385345459,
2,581,,,6.478478908538818
2,581,1.858840823173523,,
3,599,,1.4084514379501343,
3,649,,0.8673534989356995,
3,699,,0.7358279228210449,
3,749,,0.5602443814277649,
3,775,,,3.35860276222229
3,775,0.8176522850990295,,
4,799,,0.2788276970386505,
4,849,,0.2309521585702896,
4,899,,0.23253099620342255,
4,949,,0.1378430724143982,
4,969,,,1.8597732782363892
4,969,0.22898408770561218,,
5,999,,0.12347939610481262,
5,1049,,0.0844941958785057,
5,1099,,0.10009658336639404,
5,1149,,0.12077654153108597,
5,1163,,,1.2770293951034546
5,1163,0.0971006378531456,,
6,1199,,0.09961297363042831,
6,1249,,0.05833091586828232,
6,1299,,0.08291584253311157,
6,1349,,0.12909694015979767,
6,1357,,,1.1047255992889404
6,1357,0.09368959069252014,,
7,1399,,0.16813449561595917,
7,1449,,0.17870789766311646,
7,1499,,0.07482428848743439,
7,1549,,0.12070576846599579,
7,1551,,,1.1384586095809937
7,1551,0.1262078732252121,,
8,1599,,0.08370128273963928,
8,1649,,0.053282126784324646,
8,1699,,0.06704071164131165,
8,1745,,,0.9879205226898193
8,1745,0.07715462148189545,,
9,1749,,0.04084201157093048,
9,1799,,0.05095227435231209,
9,1849,,0.033600933849811554,
9,1899,,0.04852832853794098,
9,1939,,,0.8923697471618652
9,1939,0.07234551757574081,,
10,1949,,0.025583811104297638,
10,1999,,0.030872885137796402,
10,2049,,0.014169060625135899,
10,2099,,0.0015494226245209575,
10,2133,,,0.5904105305671692
10,2133,0.022002657875418663,,
11,2149,,0.01908319815993309,
11,2199,,0.017386414110660553,
11,2249,,0.009167458862066269,
11,2299,,0.007606149185448885,
11,2327,,,0.41735315322875977
11,2327,0.01146349124610424,,
12,2349,,0.014972882345318794,
12,2399,,0.01191515102982521,
12,2449,,0.0025888008531183004,
12,2499,,0.007222257554531097,
12,2521,,,0.3060149848461151
12,2521,0.006386883556842804,,
13,2549,,0.003187617054209113,
13,2599,,0.0047400109469890594,
13,2649,,0.0030559792649000883,
13,2699,,0.0032662420999258757,
13,2715,,,0.2367505133152008
13,2715,0.0038778751622885466,,
14,2749,,0.0018091261154040694,
14,2799,,0.0008984674350358546,
14,2849,,0.0010770895751193166,
14,2899,,0.000733673688955605,
14,2909,,,0.19082483649253845
14,2909,0.0026223408058285713,,
15,2949,,0.0009941869648173451,
15,2999,,0.0021114128176122904,
15,3049,,0.0017715324647724628,
15,3099,,0.002380773425102234,
15,3103,,,0.15896905958652496
15,3103,0.0019538092892616987,,
16,3149,,0.0020630534272640944,
16,3199,,0.001698796171694994,
16,3249,,0.003306993283331394,
16,3297,,,0.13587671518325806
16,3297,0.0015942719765007496,,
17,3299,,0.0007992997416295111,
17,3349,,0.002656372031196952,
17,3399,,0.0011208475334569812,
17,3449,,0.0017825730610638857,
17,3491,,,0.1132669672369957
17,3491,0.0012762431288138032,,
18,3499,,0.0009480451117269695,
18,3549,,0.0005274316063150764,
18,3599,,0.001447038259357214,
18,3649,,0.001058164401911199,
18,3685,,,0.09445992857217789
18,3685,0.00100992270745337,,
19,3699,,0.001163292326964438,
19,3749,,0.0004530559526756406,
19,3799,,0.0005750062991864979,
19,3849,,0.0005021723336540163,
19,3879,,,0.0788363665342331
19,3879,0.000811483827419579,,
20,3899,,0.0009787107119336724,
20,3949,,0.0010260222479701042,
20,3999,,0.0007064907113090158,
20,4049,,0.0008509150356985629,
20,4073,,,0.06725464761257172
20,4073,0.0006852139485999942,,
21,4099,,0.0005011854227632284,
21,4149,,0.00045741538633592427,
21,4199,,0.0007848862442187965,
21,4249,,0.0003330480249132961,
21,4267,,,0.05851166695356369
