epoch,step,train_loss_epoch,train_loss_step,val_loss
0,25,,,62.36030960083008
0,25,31.14632797241211,,
1,49,,28.09771728515625,
1,51,,,61.060550689697266
1,51,30.37114715576172,,
2,77,,,59.52643585205078
2,77,29.514976501464844,,
3,99,,30.389577865600586,
3,103,,,57.46526336669922
3,103,28.43423080444336,,
4,129,,,54.52403259277344
4,129,26.92385482788086,,
5,149,,22.62478256225586,
5,155,,,50.36900329589844
5,155,24.731664657592773,,
6,181,,,45.291297912597656
6,181,21.799755096435547,,
7,199,,17.460052490234375,
7,207,,,40.51688003540039
7,207,18.558879852294922,,
8,233,,,36.61493682861328
8,233,15.780759811401367,,
9,249,,14.17680549621582,
9,259,,,33.54952621459961
9,259,13.65502643585205,,
10,285,,,31.12520980834961
10,285,12.047014236450195,,
11,299,,10.41736125946045,
11,311,,,29.13111114501953
11,311,10.793111801147461,,
12,337,,,27.382429122924805
12,337,9.775253295898438,,
13,349,,11.363103866577148,
13,363,,,25.83949089050293
13,363,8.914234161376953,,
14,389,,,24.48064422607422
14,389,8.16086483001709,,
15,399,,5.978875160217285,
15,415,,,23.175458908081055
15,415,7.501389980316162,,
16,441,,,21.950788497924805
16,441,6.889951229095459,,
17,449,,7.4612884521484375,
17,467,,,20.81560516357422
17,467,6.334989547729492,,
18,493,,,19.804658889770508
18,493,5.848291873931885,,
19,499,,4.944128036499023,
19,519,,,18.92770767211914
19,519,5.437863826751709,,
20,545,,,18.16958999633789
20,545,5.086113452911377,,
21,549,,3.2667949199676514,
21,571,,,17.46457290649414
21,571,4.783289909362793,,
22,597,,,16.816600799560547
22,597,4.51397705078125,,
23,599,,4.570459842681885,
23,623,,,16.21474266052246
23,623,4.274726867675781,,
24,649,,2.678189992904663,
24,649,,,15.677072525024414
24,649,4.057208061218262,,
25,675,,,15.167363166809082
25,675,3.864720582962036,,
26,699,,4.127628803253174,
26,701,,,14.693305015563965
26,701,3.6869969367980957,,
27,727,,,14.22785472869873
27,727,3.527395725250244,,
28,749,,3.432164192199707,
28,753,,,13.813874244689941
28,753,3.3793575763702393,,
29,779,,,13.407891273498535
29,779,3.2486250400543213,,
30,799,,2.969409227371216,
30,805,,,13.03254508972168
30,805,3.1255648136138916,,
31,831,,,12.673357009887695
31,831,3.014362335205078,,
32,849,,1.7778449058532715,
32,857,,,12.334775924682617
32,857,2.9110591411590576,,
33,883,,,12.013487815856934
33,883,2.8171653747558594,,
34,899,,2.9700021743774414,
34,909,,,11.701333045959473
34,909,2.731632947921753,,
35,935,,,11.41112232208252
35,935,2.6514832973480225,,
36,949,,2.1186206340789795,
36,961,,,11.12816333770752
36,961,2.5786592960357666,,
37,987,,,10.856465339660645
37,987,2.5114099979400635,,
38,999,,2.355597972869873,
38,1013,,,10.604879379272461
38,1013,2.449948310852051,,
39,1039,,,10.363770484924316
39,1039,2.393712282180786,,
40,1049,,2.7746100425720215,
40,1065,,,10.129460334777832
40,1065,2.3420467376708984,,
41,1091,,,9.910103797912598
41,1091,2.2945852279663086,,
42,1099,,2.3320274353027344,
42,1117,,,9.705670356750488
42,1117,2.2534782886505127,,
43,1143,,,9.5189790725708
43,1143,2.2147960662841797,,
44,1149,,2.796699047088623,
