,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,changepoint_range,mse
0,0.01,0.01,0.01,additive,0.8,0.0822661554794049
1,0.01,0.01,0.01,additive,0.85,0.053800747867838734
2,0.01,0.01,0.01,additive,0.9,0.04841903115938371
3,0.01,0.01,0.01,additive,0.95,0.04642901521704149
4,0.01,0.01,0.01,multiplicative,0.8,0.08201948994443647
5,0.01,0.01,0.01,multiplicative,0.85,0.05706672619377571
6,0.01,0.01,0.01,multiplicative,0.9,0.04729913432029467
7,0.01,0.01,0.01,multiplicative,0.95,0.0465526589858617
8,0.01,0.01,0.1,additive,0.8,0.0822661554794049
9,0.01,0.01,0.1,additive,0.85,0.053800747867838734
10,0.01,0.01,0.1,additive,0.9,0.04841903115938371
11,0.01,0.01,0.1,additive,0.95,0.04642901521704149
12,0.01,0.01,0.1,multiplicative,0.8,0.08201948994443647
13,0.01,0.01,0.1,multiplicative,0.85,0.05706672619377571
14,0.01,0.01,0.1,multiplicative,0.9,0.04729913432029467
15,0.01,0.01,0.1,multiplicative,0.95,0.0465526589858617
16,0.01,0.01,0.5,additive,0.8,0.0822661554794049
17,0.01,0.01,0.5,additive,0.85,0.053800747867838734
18,0.01,0.01,0.5,additive,0.9,0.04841903115938371
19,0.01,0.01,0.5,additive,0.95,0.04642901521704149
20,0.01,0.01,0.5,multiplicative,0.8,0.08201948994443647
21,0.01,0.01,0.5,multiplicative,0.85,0.05706672619377571
22,0.01,0.01,0.5,multiplicative,0.9,0.04729913432029467
23,0.01,0.01,0.5,multiplicative,0.95,0.0465526589858617
24,0.01,0.01,1.0,additive,0.8,0.0822661554794049
25,0.01,0.01,1.0,additive,0.85,0.053800747867838734
26,0.01,0.01,1.0,additive,0.9,0.04841903115938371
27,0.01,0.01,1.0,additive,0.95,0.04642901521704149
28,0.01,0.01,1.0,multiplicative,0.8,0.08201948994443647
29,0.01,0.01,1.0,multiplicative,0.85,0.05706672619377571
30,0.01,0.01,1.0,multiplicative,0.9,0.04729913432029467
31,0.01,0.01,1.0,multiplicative,0.95,0.0465526589858617
32,0.01,0.01,10.0,additive,0.8,0.0822661554794049
33,0.01,0.01,10.0,additive,0.85,0.053800747867838734
34,0.01,0.01,10.0,additive,0.9,0.04841903115938371
35,0.01,0.01,10.0,additive,0.95,0.04642901521704149
36,0.01,0.01,10.0,multiplicative,0.8,0.08201948994443647
37,0.01,0.01,10.0,multiplicative,0.85,0.05706672619377571
38,0.01,0.01,10.0,multiplicative,0.9,0.04729913432029467
39,0.01,0.01,10.0,multiplicative,0.95,0.0465526589858617
40,0.01,0.1,0.01,additive,0.8,0.08361434984606424
41,0.01,0.1,0.01,additive,0.85,0.0552573642737187
42,0.01,0.1,0.01,additive,0.9,0.04872325509076511
43,0.01,0.1,0.01,additive,0.95,0.045458898175858534
44,0.01,0.1,0.01,multiplicative,0.8,0.08174069586741105
45,0.01,0.1,0.01,multiplicative,0.85,0.052140539992956654
46,0.01,0.1,0.01,multiplicative,0.9,0.04772821789269725
47,0.01,0.1,0.01,multiplicative,0.95,0.04578793498182989
48,0.01,0.1,0.1,additive,0.8,0.08361434984606424
49,0.01,0.1,0.1,additive,0.85,0.0552573642737187
50,0.01,0.1,0.1,additive,0.9,0.04872325509076511
51,0.01,0.1,0.1,additive,0.95,0.045458898175858534
52,0.01,0.1,0.1,multiplicative,0.8,0.08174069586741105
53,0.01,0.1,0.1,multiplicative,0.85,0.052140539992956654
54,0.01,0.1,0.1,multiplicative,0.9,0.04772821789269725
55,0.01,0.1,0.1,multiplicative,0.95,0.04578793498182989
56,0.01,0.1,0.5,additive,0.8,0.08361434984606424
57,0.01,0.1,0.5,additive,0.85,0.0552573642737187
58,0.01,0.1,0.5,additive,0.9,0.04872325509076511
59,0.01,0.1,0.5,additive,0.95,0.045458898175858534
60,0.01,0.1,0.5,multiplicative,0.8,0.08174069586741105
61,0.01,0.1,0.5,multiplicative,0.85,0.052140539992956654
62,0.01,0.1,0.5,multiplicative,0.9,0.04772821789269725
63,0.01,0.1,0.5,multiplicative,0.95,0.04578793498182989
64,0.01,0.1,1.0,additive,0.8,0.08361434984606424
65,0.01,0.1,1.0,additive,0.85,0.0552573642737187
66,0.01,0.1,1.0,additive,0.9,0.04872325509076511
67,0.01,0.1,1.0,additive,0.95,0.045458898175858534
68,0.01,0.1,1.0,multiplicative,0.8,0.08174069586741105
69,0.01,0.1,1.0,multiplicative,0.85,0.052140539992956654
70,0.01,0.1,1.0,multiplicative,0.9,0.04772821789269725
