,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,changepoint_range,mse
0,0.01,0.005,additive,0.8,0.058705843295872626
1,0.01,0.005,additive,0.85,0.03173171367639718
2,0.01,0.005,additive,0.9,0.0388920631181452
3,0.01,0.005,additive,0.95,0.03791040512289724
4,0.01,0.005,multiplicative,0.8,0.05653662013412376
5,0.01,0.005,multiplicative,0.85,0.032069614342702175
6,0.01,0.005,multiplicative,0.9,0.040094910755670954
7,0.01,0.005,multiplicative,0.95,0.03763602930809518
8,0.01,0.01,additive,0.8,0.05722958861995261
9,0.01,0.01,additive,0.85,0.031819337019878276
10,0.01,0.01,additive,0.9,0.037980147413684946
11,0.01,0.01,additive,0.95,0.038015873175101335
12,0.01,0.01,multiplicative,0.8,0.057271112167072216
13,0.01,0.01,multiplicative,0.85,0.03230563895606172
14,0.01,0.01,multiplicative,0.9,0.039696967268857124
15,0.01,0.01,multiplicative,0.95,0.039859139984078654
16,0.01,0.1,additive,0.8,0.057683719205837605
17,0.01,0.1,additive,0.85,0.03176671948377644
18,0.01,0.1,additive,0.9,0.037455235300286854
19,0.01,0.1,additive,0.95,0.03808461213555316
20,0.01,0.1,multiplicative,0.8,0.057330425154269796
21,0.01,0.1,multiplicative,0.85,0.03218389019601734
22,0.01,0.1,multiplicative,0.9,0.04010903165168958
23,0.01,0.1,multiplicative,0.95,0.03921908113599777
24,0.01,0.5,additive,0.8,0.05721481668668765
25,0.01,0.5,additive,0.85,0.03218337205537294
26,0.01,0.5,additive,0.9,0.038923245987674035
27,0.01,0.5,additive,0.95,0.037662215931432465
28,0.01,0.5,multiplicative,0.8,0.05735327544111277
29,0.01,0.5,multiplicative,0.85,0.03187010169315634
30,0.01,0.5,multiplicative,0.9,0.03835847701016341
31,0.01,0.5,multiplicative,0.95,0.03745613302805886
32,0.01,1.0,additive,0.8,0.057008406824026456
33,0.01,1.0,additive,0.85,0.03188139023680344
34,0.01,1.0,additive,0.9,0.03992473212533691
35,0.01,1.0,additive,0.95,0.03920690999971145
36,0.01,1.0,multiplicative,0.8,0.05728384198672271
37,0.01,1.0,multiplicative,0.85,0.03162321802184023
38,0.01,1.0,multiplicative,0.9,0.03821392663071624
39,0.01,1.0,multiplicative,0.95,0.03761400539534696
40,0.05,0.005,additive,0.8,0.04487180247628587
41,0.05,0.005,additive,0.85,0.027806450488384427
