Order,Seasonal_Order,Score
"(0, 0, 0)","(0, 0, 0, 12)",34.92649395786863
"(0, 0, 0)","(0, 0, 1, 12)",11.030030658864844
"(0, 0, 0)","(0, 1, 0, 12)",0.05258680322426703
"(0, 0, 0)","(0, 1, 1, 12)",0.05126340045112242
"(0, 0, 0)","(1, 0, 0, 12)",0.05293496649036944
"(0, 0, 0)","(1, 0, 1, 12)",0.05161599795371745
"(0, 0, 0)","(1, 1, 0, 12)",0.050984180870509335
"(0, 0, 0)","(1, 1, 1, 12)",0.05732671662872165
"(0, 0, 1)","(0, 0, 0, 12)",32.808857405532656
"(0, 0, 1)","(0, 0, 1, 12)",10.614089185741435
"(0, 0, 1)","(0, 1, 0, 12)",0.047855284269109524
"(0, 0, 1)","(0, 1, 1, 12)",0.04736453470019919
"(0, 0, 1)","(1, 0, 0, 12)",0.04821336313255916
"(0, 0, 1)","(1, 0, 1, 12)",0.04770869984834908
"(0, 0, 1)","(1, 1, 0, 12)",0.047304085620306704
"(0, 0, 1)","(1, 1, 1, 12)",0.04929992724637496
"(0, 0, 2)","(0, 0, 0, 12)",31.216364837430103
"(0, 0, 2)","(0, 0, 1, 12)",9.845820232408666
"(0, 0, 2)","(0, 1, 0, 12)",0.04278156179773107
"(0, 0, 2)","(0, 1, 1, 12)",0.043853855009241424
"(0, 0, 2)","(1, 0, 0, 12)",0.04368477484729618
"(0, 0, 2)","(1, 0, 1, 12)",0.04438512992994341
"(0, 0, 2)","(1, 1, 0, 12)",0.043757106630910404
"(0, 0, 2)","(1, 1, 1, 12)",0.0441139527321221
"(0, 1, 0)","(0, 0, 0, 12)",0.021994655527691188
"(0, 1, 0)","(0, 0, 1, 12)",0.022315428363226336
"(0, 1, 0)","(0, 1, 0, 12)",0.04292582990339962
"(0, 1, 0)","(0, 1, 1, 12)",0.016183497370894556
"(0, 1, 0)","(1, 0, 0, 12)",0.02239460849121334
"(0, 1, 0)","(1, 0, 1, 12)",0.022842632729310662
"(0, 1, 0)","(1, 1, 0, 12)",0.027620114651827742
"(0, 1, 0)","(1, 1, 1, 12)",0.016402765246793936
"(0, 1, 1)","(0, 0, 0, 12)",0.023053776520094264
"(0, 1, 1)","(0, 0, 1, 12)",0.023338436132202784
"(0, 1, 1)","(0, 1, 0, 12)",0.04386784051203391
"(0, 1, 1)","(0, 1, 1, 12)",0.01688001209041754
"(0, 1, 1)","(1, 0, 0, 12)",0.023435360495401077
"(0, 1, 1)","(1, 0, 1, 12)",0.023916609777019468
"(0, 1, 1)","(1, 1, 0, 12)",0.028653377271695292
"(0, 1, 1)","(1, 1, 1, 12)",0.01721175088519612
"(0, 1, 2)","(0, 0, 0, 12)",0.02296112981791073
"(0, 1, 2)","(0, 0, 1, 12)",0.023326933699140563
"(0, 1, 2)","(0, 1, 0, 12)",0.044095811884273715
"(0, 1, 2)","(0, 1, 1, 12)",0.01666504677312248
"(0, 1, 2)","(1, 0, 0, 12)",0.023391474853690204
"(0, 1, 2)","(1, 0, 1, 12)",0.025054515934817993
"(0, 1, 2)","(1, 1, 0, 12)",0.028491557584054382
"(0, 1, 2)","(1, 1, 1, 12)",0.017053649974555416
"(1, 0, 0)","(0, 0, 0, 12)",0.022316934479424917
"(1, 0, 0)","(0, 0, 1, 12)",0.022650651157034154
"(1, 0, 0)","(0, 1, 0, 12)",0.02252242853770356
"(1, 0, 0)","(0, 1, 1, 12)",0.024245099141984573
"(1, 0, 0)","(1, 0, 0, 12)",0.022730156059156563
"(1, 0, 0)","(1, 0, 1, 12)",0.02238341770996454
"(1, 0, 0)","(1, 1, 0, 12)",0.01827389744424828
"(1, 0, 0)","(1, 1, 1, 12)",0.020842992620434608
"(1, 0, 1)","(0, 0, 0, 12)",0.023424863408015927
"(1, 0, 1)","(0, 0, 1, 12)",0.023741929727306627
"(1, 0, 1)","(0, 1, 0, 12)",0.0213836824098209
"(1, 0, 1)","(0, 1, 1, 12)",0.017701803019524846
"(1, 0, 1)","(1, 0, 0, 12)",0.024955405128465568
"(1, 0, 1)","(1, 0, 1, 12)",0.02212781374671517
"(1, 0, 1)","(1, 1, 0, 12)",0.017910255348856353
"(1, 0, 1)","(1, 1, 1, 12)",0.01948356400734435
"(1, 0, 2)","(0, 0, 0, 12)",0.02330860330914058
"(1, 0, 2)","(0, 0, 1, 12)",0.023704932143169682
"(1, 0, 2)","(0, 1, 0, 12)",0.021088479547055655
"(1, 0, 2)","(0, 1, 1, 12)",0.019213005213099293
"(1, 0, 2)","(1, 0, 0, 12)",0.03230783186689478
"(1, 0, 2)","(1, 0, 1, 12)",0.022048423519987335
"(1, 0, 2)","(1, 1, 0, 12)",0.01793185502398122
"(1, 0, 2)","(1, 1, 1, 12)",0.021542045359995175
"(1, 1, 0)","(0, 0, 0, 12)",0.023224347562138377
"(1, 1, 0)","(0, 0, 1, 12)",0.023517224445466
"(1, 1, 0)","(0, 1, 0, 12)",0.04399377801989105
"(1, 1, 0)","(0, 1, 1, 12)",0.01691758101416265
"(1, 1, 0)","(1, 0, 0, 12)",0.02354199618798572
"(1, 1, 0)","(1, 0, 1, 12)",0.02417127957230708
"(1, 1, 0)","(1, 1, 0, 12)",0.02879065616687933
"(1, 1, 0)","(1, 1, 1, 12)",0.017245923414933535
"(1, 1, 1)","(0, 0, 0, 12)",0.023010144461785464
"(1, 1, 1)","(0, 0, 1, 12)",0.02328914417876952
"(1, 1, 1)","(0, 1, 0, 12)",0.04700952800016743
"(1, 1, 1)","(0, 1, 1, 12)",0.017535439524948553
"(1, 1, 1)","(1, 0, 0, 12)",0.023401902538208084
"(1, 1, 1)","(1, 0, 1, 12)",0.023758498777617276
"(1, 1, 1)","(1, 1, 0, 12)",0.035566342085409944
"(1, 1, 1)","(1, 1, 1, 12)",0.019944145519833905
"(1, 1, 2)","(0, 0, 0, 12)",0.025924726106853053
"(1, 1, 2)","(0, 0, 1, 12)",0.0249946437837138
"(1, 1, 2)","(0, 1, 0, 12)",0.04310740692048315
"(1, 1, 2)","(0, 1, 1, 12)",0.016733868123876987
"(1, 1, 2)","(1, 0, 0, 12)",0.024940416524142483
"(1, 1, 2)","(1, 0, 1, 12)",0.025958722535465932
"(1, 1, 2)","(1, 1, 0, 12)",0.02738944965051595
"(1, 1, 2)","(1, 1, 1, 12)",0.016977153817938736
"(2, 0, 0)","(0, 0, 0, 12)",0.023587013003916534
"(2, 0, 0)","(0, 0, 1, 12)",0.029883820237371645
"(2, 0, 0)","(0, 1, 0, 12)",0.021216719105647368
"(2, 0, 0)","(0, 1, 1, 12)",0.01460312481908758
"(2, 0, 0)","(1, 0, 0, 12)",0.023997404945687605
"(2, 0, 0)","(1, 0, 1, 12)",0.029749999744983165
"(2, 0, 0)","(1, 1, 0, 12)",0.01784274347108692
"(2, 0, 0)","(1, 1, 1, 12)",0.022371033276583612
"(2, 0, 1)","(0, 0, 0, 12)",0.02236569256222396
"(2, 0, 1)","(0, 0, 1, 12)",0.022469387192301866
"(2, 0, 1)","(0, 1, 0, 12)",0.019586237939776263
"(2, 0, 1)","(0, 1, 1, 12)",0.016454210102872468
"(2, 0, 1)","(1, 0, 0, 12)",0.02274362689651588
"(2, 0, 1)","(1, 0, 1, 12)",0.020512236213442468
"(2, 0, 1)","(1, 1, 0, 12)",0.02241369141368279
"(2, 0, 1)","(1, 1, 1, 12)",0.01721326973898401
"(2, 0, 2)","(0, 0, 0, 12)",0.022859424172008248
"(2, 0, 2)","(0, 0, 1, 12)",0.023375198689359944
"(2, 0, 2)","(0, 1, 0, 12)",0.02039408830838211
"(2, 0, 2)","(0, 1, 1, 12)",0.01918785150630073
"(2, 0, 2)","(1, 0, 0, 12)",0.023759949011754093
"(2, 0, 2)","(1, 0, 1, 12)",0.020469224190859746
"(2, 0, 2)","(1, 1, 0, 12)",0.0183390240563982
"(2, 0, 2)","(1, 1, 1, 12)",0.017190747760640578
"(2, 1, 0)","(0, 0, 0, 12)",0.02309073090520483
"(2, 1, 0)","(0, 0, 1, 12)",0.023434815808868116
"(2, 1, 0)","(0, 1, 0, 12)",0.044438307826939485
"(2, 1, 0)","(0, 1, 1, 12)",0.016688724241731727
"(2, 1, 0)","(1, 0, 0, 12)",0.023550287425960232
"(2, 1, 0)","(1, 0, 1, 12)",0.02506361005945752
"(2, 1, 0)","(1, 1, 0, 12)",0.028605702724979476
"(2, 1, 0)","(1, 1, 1, 12)",0.017017302147039944
"(2, 1, 1)","(0, 0, 0, 12)",0.023061866190915055
"(2, 1, 1)","(0, 0, 1, 12)",0.02332390458401487
"(2, 1, 1)","(0, 1, 0, 12)",0.04495768016504241
"(2, 1, 1)","(0, 1, 1, 12)",0.016797718150762427
"(2, 1, 1)","(1, 0, 0, 12)",0.023558257128766642
"(2, 1, 1)","(1, 0, 1, 12)",0.025323553882475498
"(2, 1, 1)","(1, 1, 0, 12)",0.030334653677182393
"(2, 1, 1)","(1, 1, 1, 12)",0.017084716577069343
"(2, 1, 2)","(0, 0, 0, 12)",0.0236831805270162
"(2, 1, 2)","(0, 0, 1, 12)",0.032660238202393915
"(2, 1, 2)","(0, 1, 0, 12)",0.01802338495192989
"(2, 1, 2)","(0, 1, 1, 12)",0.02135102552100735
"(2, 1, 2)","(1, 0, 0, 12)",0.033098772707254184
"(2, 1, 2)","(1, 0, 1, 12)",0.03496075012262365
"(2, 1, 2)","(1, 1, 0, 12)",0.017016156554607344
"(2, 1, 2)","(1, 1, 1, 12)",0.022540828749079523
