Order,Seasonal_Order,Score
"(0, 0, 0)","(0, 0, 0, 4)",34.06036527486527
"(0, 0, 0)","(0, 0, 1, 4)",25.573770972343333
"(0, 0, 0)","(0, 0, 2, 4)",18.517389727612915
"(0, 0, 0)","(0, 0, 3, 4)",12.29698287930905
"(0, 0, 0)","(0, 1, 0, 4)",0.005542993206449768
"(0, 0, 0)","(0, 1, 1, 4)",0.00553662839029725
"(0, 0, 0)","(0, 1, 2, 4)",0.005538253861705581
"(0, 0, 0)","(0, 1, 3, 4)",0.0052250732575408725
"(0, 0, 0)","(0, 2, 0, 4)",0.009800991037789584
"(0, 0, 0)","(0, 2, 1, 4)",0.005810432257656119
"(0, 0, 0)","(0, 2, 2, 4)",0.005794261367893671
"(0, 0, 0)","(0, 2, 3, 4)",0.005417052451500685
"(0, 0, 0)","(0, 3, 0, 4)",0.040112186592029773
"(0, 0, 0)","(0, 3, 1, 4)",0.016396878038328157
"(0, 0, 0)","(0, 3, 2, 4)",0.018197964297117546
"(0, 0, 0)","(0, 3, 3, 4)",0.013683586776378192
"(0, 0, 0)","(1, 0, 0, 4)",0.005536923383384265
"(0, 0, 0)","(1, 0, 1, 4)",0.005527649158764379
"(0, 0, 0)","(1, 0, 2, 4)",0.005551619518013575
"(0, 0, 0)","(1, 0, 3, 4)",0.005251224569693677
"(0, 0, 0)","(1, 1, 0, 4)",0.005536839250265277
"(0, 0, 0)","(1, 1, 1, 4)",0.005535075755594308
"(0, 0, 0)","(1, 1, 2, 4)",0.005732090928113044
"(0, 0, 0)","(1, 1, 3, 4)",0.004345225407644922
"(0, 0, 0)","(1, 2, 0, 4)",0.005826519996571311
"(0, 0, 0)","(1, 2, 1, 4)",0.005757483415741971
"(0, 0, 0)","(1, 2, 2, 4)",0.005684639287208033
"(0, 0, 0)","(1, 2, 3, 4)",0.005335868084587681
"(0, 0, 0)","(1, 3, 0, 4)",0.032650533261724866
"(0, 0, 0)","(1, 3, 1, 4)",0.018612788255800157
"(0, 0, 0)","(1, 3, 2, 4)",0.01721533460627151
"(0, 0, 0)","(1, 3, 3, 4)",0.014303115675908478
"(0, 0, 0)","(2, 0, 0, 4)",0.005644394748009379
"(0, 0, 0)","(2, 0, 1, 4)",0.005564925584621213
"(0, 0, 0)","(2, 0, 2, 4)",0.005536303678539902
"(0, 0, 0)","(2, 0, 3, 4)",0.005745858992817122
"(0, 0, 0)","(2, 1, 0, 4)",0.0055394612586305075
"(0, 0, 0)","(2, 1, 1, 4)",0.005530206505578372
"(0, 0, 0)","(2, 1, 2, 4)",0.005852453038978559
"(0, 0, 0)","(2, 1, 3, 4)",0.005443005695677693
"(0, 0, 0)","(2, 2, 0, 4)",0.005794045441034136
"(0, 0, 0)","(2, 2, 1, 4)",0.00538968454308614
"(0, 0, 0)","(2, 2, 2, 4)",0.0052541023237326154
"(0, 0, 0)","(2, 2, 3, 4)",0.005833540349052835
"(0, 0, 0)","(2, 3, 0, 4)",0.03298452573181233
"(0, 0, 0)","(2, 3, 1, 4)",0.01824304003045348
"(0, 0, 0)","(2, 3, 2, 4)",0.01752061735098575
"(0, 0, 0)","(2, 3, 3, 4)",0.016529847490337323
"(0, 0, 0)","(3, 0, 0, 4)",0.004189237291524743
"(0, 0, 0)","(3, 0, 1, 4)",0.006086393225305076
"(0, 0, 0)","(3, 0, 2, 4)",0.00550867926747896
"(0, 0, 0)","(3, 0, 3, 4)",0.005480601586322036
"(0, 0, 0)","(3, 1, 0, 4)",0.005190878436676394
"(0, 0, 0)","(3, 1, 1, 4)",0.004319624851647278
"(0, 0, 0)","(3, 1, 2, 4)",0.0053177569100401265
"(0, 0, 0)","(3, 1, 3, 4)",0.00545060716437053
"(0, 0, 0)","(3, 2, 0, 4)",0.006850708639819775
"(0, 0, 0)","(3, 2, 1, 4)",0.0055747674826615206
"(0, 0, 0)","(3, 2, 2, 4)",0.005328918197649879
"(0, 0, 0)","(3, 2, 3, 4)",0.005428141615371747
"(0, 0, 0)","(3, 3, 0, 4)",0.031515939929057234
"(0, 0, 0)","(3, 3, 1, 4)",0.009072761731602888
"(0, 0, 0)","(3, 3, 2, 4)",0.010075513806380217
"(0, 0, 0)","(3, 3, 3, 4)",0.011899026746219963
"(0, 0, 1)","(0, 0, 0, 4)",31.938570491183942
"(0, 0, 1)","(0, 0, 1, 4)",23.897229699707477
"(0, 0, 1)","(0, 0, 2, 4)",16.83296087373783
"(0, 0, 1)","(0, 0, 3, 4)",10.792773708914591
"(0, 0, 1)","(0, 1, 0, 4)",0.004927710509144143
"(0, 0, 1)","(0, 1, 1, 4)",0.0051211737228036135
"(0, 0, 1)","(0, 1, 2, 4)",0.0055270931695063415
"(0, 0, 1)","(0, 1, 3, 4)",0.005570668352694587
"(0, 0, 1)","(0, 2, 0, 4)",0.012569228771785308
"(0, 0, 1)","(0, 2, 1, 4)",0.005113270334609054
"(0, 0, 1)","(0, 2, 2, 4)",0.005285280761356331
"(0, 0, 1)","(0, 2, 3, 4)",0.005882223057023675
"(0, 0, 1)","(0, 3, 0, 4)",0.06138838654752258
"(0, 0, 1)","(0, 3, 1, 4)",0.015634888838489097
"(0, 0, 1)","(0, 3, 2, 4)",0.01695716595542992
"(0, 0, 1)","(0, 3, 3, 4)",0.010204649899005028
"(0, 0, 1)","(1, 0, 0, 4)",0.0050467256827300185
"(0, 0, 1)","(1, 0, 1, 4)",0.0049883222071937326
"(0, 0, 1)","(1, 0, 2, 4)",0.005033164718325179
