Order,Seasonal_Order,MSE,AIC
"(1, 0, 0)","(0, 1, 1, 4)",0.013594899464413394,-9859.838799050125
"(1, 0, 0)","(0, 1, 2, 4)",0.014502684081478989,-9859.112728068203
"(1, 0, 0)","(0, 1, 3, 4)",0.014206184642381539,-9858.045133414902
"(1, 0, 0)","(0, 1, 4, 4)",0.01633758120835019,-9843.004456750332
"(1, 0, 0)","(0, 2, 1, 4)",0.008829370869162878,-8756.97742869522
"(1, 0, 0)","(0, 2, 2, 4)",0.016028053541712058,-9777.09884269911
"(1, 0, 0)","(0, 2, 3, 4)",0.014034009761742216,-9771.08996585091
"(1, 0, 0)","(0, 2, 4, 4)",0.013058082141802207,-9790.405904614414
"(1, 0, 0)","(0, 3, 1, 4)",0.22826506202845293,-7403.954461799261
"(1, 0, 0)","(0, 3, 2, 4)",0.07502327184711251,-8710.357709856826
"(1, 0, 0)","(0, 3, 3, 4)",0.13507614922298522,-8683.841935918972
"(1, 0, 0)","(0, 3, 4, 4)",0.13354600404686867,-8930.463666623145
"(1, 0, 0)","(0, 4, 1, 4)",2.511278795139682,-7203.958278164716
"(1, 0, 0)","(0, 4, 2, 4)",0.4292497107280047,-8393.952213312563
"(1, 0, 0)","(0, 4, 3, 4)",1.6395289429616837,-8346.40388069118
"(1, 0, 0)","(0, 4, 4, 4)",0.2616581350824743,-8713.948070175476
"(1, 0, 0)","(1, 1, 1, 4)",0.01254369676229403,-9861.419366149003
"(1, 0, 0)","(1, 1, 2, 4)",0.011441574064295551,-9865.152773480353
"(1, 0, 0)","(1, 1, 3, 4)",0.013606012660967287,-9859.186049461485
"(1, 0, 0)","(1, 1, 4, 4)",0.016466020678474684,-9852.504041431883
"(1, 0, 0)","(1, 2, 1, 4)",0.010410302268594171,-9200.843266028043
"(1, 0, 0)","(1, 2, 2, 4)",0.011870422205444134,-9774.257803844372
"(1, 0, 0)","(1, 2, 3, 4)",0.010470572169783398,-9790.97801198066
"(1, 0, 0)","(1, 2, 4, 4)",0.007465368522462384,-9788.211379057544
"(1, 0, 0)","(1, 3, 1, 4)",2.59416606098981,-8185.52701858565
"(1, 0, 0)","(1, 3, 2, 4)",0.2885930789379669,-8326.482240454337
"(1, 0, 0)","(1, 3, 3, 4)",0.18021794756251833,-8695.077158682803
"(1, 0, 0)","(1, 3, 4, 4)",0.25794685379288557,-8697.888968046002
"(1, 0, 0)","(1, 4, 1, 4)",1.9419154071193478,-7737.2156655131785
"(1, 0, 0)","(1, 4, 2, 4)",0.5545160673274386,-8203.69211110935
"(1, 0, 0)","(1, 4, 3, 4)",0.39076079245710715,-8434.281200576585
"(1, 0, 0)","(1, 4, 4, 4)",0.4077338328294168,-8452.319330089618
"(1, 0, 0)","(2, 1, 1, 4)",0.011291726736247771,-9861.62308283498
"(1, 0, 0)","(2, 1, 2, 4)",0.010386834480531126,-9860.906159789412
"(1, 0, 0)","(2, 1, 3, 4)",0.011742992067629862,-9859.952809262415
"(1, 0, 0)","(2, 1, 4, 4)",0.017414806074899057,-9836.086453714252
"(1, 0, 0)","(2, 2, 1, 4)",0.020854566741061065,-9356.978524346763
"(1, 0, 0)","(2, 2, 2, 4)",0.012531462468193196,-9262.369568506201
"(1, 0, 0)","(2, 2, 3, 4)",0.015136253609608324,-9779.116055150222
"(1, 0, 0)","(2, 2, 4, 4)",0.03573449658184062,-9706.722311794014
"(1, 0, 0)","(2, 3, 1, 4)",0.291384029179478,-8285.7250067652
"(1, 0, 0)","(2, 3, 2, 4)",0.3091772302889627,-8320.240877320715
"(1, 0, 0)","(2, 3, 3, 4)",0.31451366407803877,-8307.280679186544
"(1, 0, 0)","(2, 3, 4, 4)",0.2690208631706116,-8703.450442875772
"(1, 0, 0)","(2, 4, 1, 4)",15.373527501563993,-7728.034028784001
"(1, 0, 0)","(2, 4, 2, 4)",2.084204106453855,-7730.3850126897905
"(1, 0, 0)","(2, 4, 3, 4)",0.4809832114701177,-8061.078070708335
"(1, 0, 0)","(2, 4, 4, 4)",0.21711327335868652,-8414.680621508345
"(1, 0, 0)","(3, 1, 1, 4)",0.015093880483637332,-9848.247244708793
"(1, 0, 0)","(3, 1, 2, 4)",0.013303472579563361,-9859.549603341602
"(1, 0, 0)","(3, 1, 3, 4)",0.011411234339652007,-9855.91847192524
"(1, 0, 0)","(3, 1, 4, 4)",0.015146507275291687,-9849.555818360943
"(1, 0, 0)","(3, 2, 1, 4)",0.04817338867452704,-9413.517326847035
"(1, 0, 0)","(3, 2, 2, 4)",0.012493427576773455,-9389.045367916911
"(1, 0, 0)","(3, 2, 3, 4)",0.013462103189609964,-9747.12939326892
"(1, 0, 0)","(3, 2, 4, 4)",0.04501986681891532,-9725.658068110724
"(1, 0, 0)","(3, 3, 1, 4)",0.28855326304381296,-8193.90239821302
"(1, 0, 0)","(3, 3, 2, 4)",0.32248029830957087,-8289.69372817615
"(1, 0, 0)","(3, 3, 3, 4)",0.3452791153518534,-8315.677300684347
"(1, 0, 0)","(3, 3, 4, 4)",0.27711295962159954,-8281.71179034824
"(1, 0, 0)","(3, 4, 1, 4)",5.983259125772655,-7478.522808529138
"(1, 0, 0)","(3, 4, 2, 4)",2.761667669719057,-7756.056052283942
"(1, 0, 0)","(3, 4, 3, 4)",2.9681517649854157,-7726.39257696603
"(1, 0, 0)","(3, 4, 4, 4)",2.276238832323541,-7650.983359057978
"(1, 0, 1)","(0, 1, 1, 4)",0.011084811277945339,-9867.633915830938
"(1, 0, 1)","(0, 1, 2, 4)",0.012532339720019344,-9861.559500541884
"(1, 0, 1)","(0, 1, 3, 4)",0.010598201063145983,-9865.297703419597
"(1, 0, 1)","(0, 1, 4, 4)",0.0191678596331593,-9850.237315330976
"(1, 0, 1)","(0, 2, 1, 4)",0.009364854935594438,-8773.90253190974
"(1, 0, 1)","(0, 2, 2, 4)",0.016125297252042585,-9779.58682129341
"(1, 0, 1)","(0, 2, 3, 4)",0.01604195038178126,-9773.35202649244
"(1, 0, 1)","(0, 2, 4, 4)",0.006603962916601991,-9776.69138476624
"(1, 0, 1)","(0, 3, 1, 4)",0.23591378467268315,-7432.056292618516
"(1, 0, 1)","(0, 3, 2, 4)",0.06518262194630545,-8753.454186554878
"(1, 0, 1)","(0, 3, 3, 4)",0.3598220197557205,-8659.030122942102
"(1, 0, 1)","(0, 3, 4, 4)",0.24936344925666618,-8706.123877334847
"(1, 0, 1)","(0, 4, 1, 4)",2.3403638200648005,-7219.853379188047
"(1, 0, 1)","(0, 4, 2, 4)",1.8097419566748225,-8271.836171434761
"(1, 0, 1)","(0, 4, 3, 4)",1.4989915515592565,-8395.038479239363
"(1, 0, 1)","(0, 4, 4, 4)",0.5750840978173974,-8559.070702795396
"(1, 0, 1)","(1, 1, 1, 4)",0.01412672513950112,-9859.80312208621
"(1, 0, 1)","(1, 1, 2, 4)",0.011333226766499496,-9867.73437628435
"(1, 0, 1)","(1, 1, 3, 4)",0.01603232157213207,-9857.26817174115
"(1, 0, 1)","(1, 1, 4, 4)",0.013323330866486394,-9855.280036316926
"(1, 0, 1)","(1, 2, 1, 4)",0.010190462119551338,-9200.207534361738
"(1, 0, 1)","(1, 2, 2, 4)",0.14145096010019648,-9687.624253890379
"(1, 0, 1)","(1, 2, 3, 4)",0.012555819427220439,-9793.858406562864
"(1, 0, 1)","(1, 2, 4, 4)",0.00799524648792118,-9792.395847442805
"(1, 0, 1)","(1, 3, 1, 4)",0.33842769380186455,-8310.563808332125
"(1, 0, 1)","(1, 3, 2, 4)",0.30653699637431125,-8305.093889811702
"(1, 0, 1)","(1, 3, 3, 4)",0.23662794765806963,-8719.472317064161
"(1, 0, 1)","(1, 3, 4, 4)",0.23004362689985722,-8717.097301817043
"(1, 0, 1)","(1, 4, 1, 4)",2.0605351605682762,-7703.986371854257
"(1, 0, 1)","(1, 4, 2, 4)",0.5340469164582312,-8208.103809117358
"(1, 0, 1)","(1, 4, 3, 4)",1.5729339305573855,-8366.224050220688
"(1, 0, 1)","(1, 4, 4, 4)",1.0298110453981375,-8373.334878072079
"(1, 0, 1)","(2, 1, 1, 4)",0.011294512814123131,-9865.678877556547
"(1, 0, 1)","(2, 1, 2, 4)",0.013794189418124474,-9845.953084654922
"(1, 0, 1)","(2, 1, 3, 4)",0.013671560205156317,-9859.064383155586
"(1, 0, 1)","(2, 1, 4, 4)",0.017958276561153983,-9827.024077423837
"(1, 0, 1)","(2, 2, 1, 4)",0.013336008028322546,-9395.33951197483
"(1, 0, 1)","(2, 2, 2, 4)",0.011816845013313985,-9259.739522095007
"(1, 0, 1)","(2, 2, 3, 4)",0.016927322718355363,-9720.261531460015
"(1, 0, 1)","(2, 2, 4, 4)",0.016367214908048537,-9677.935289758429
"(1, 0, 1)","(2, 3, 1, 4)",0.9270063739350505,-8192.817915422167
"(1, 0, 1)","(2, 3, 2, 4)",0.3668865586765788,-8286.172032118931
"(1, 0, 1)","(2, 3, 3, 4)",0.3055551474635322,-8233.793213633797
"(1, 0, 1)","(2, 3, 4, 4)",0.1686182463330123,-8780.313807409782
"(1, 0, 1)","(2, 4, 1, 4)",6.65666473124916,-7692.902557740026
"(1, 0, 1)","(2, 4, 2, 4)",2.726843112321293,-7726.479812339999
"(1, 0, 1)","(2, 4, 3, 4)",2.1936399740258103,-7647.451129958414
"(1, 0, 1)","(2, 4, 4, 4)",0.5477598078116855,-8414.805424375298
"(1, 0, 1)","(3, 1, 1, 4)",0.011424969005708666,-9822.154495485665
"(1, 0, 1)","(3, 1, 2, 4)",0.01661574213173388,-9844.425549689098
"(1, 0, 1)","(3, 1, 3, 4)",0.015666706257522263,-9852.688607321765
"(1, 0, 1)","(3, 1, 4, 4)",0.016050529129227897,-9831.474362512065
"(1, 0, 1)","(3, 2, 1, 4)",0.07555048631446634,-9403.190089706624
"(1, 0, 1)","(3, 2, 2, 4)",0.017369048233110123,-9387.978038329087
"(1, 0, 1)","(3, 2, 3, 4)",0.01955686374425353,-9400.765657730219
"(1, 0, 1)","(3, 2, 4, 4)",0.054291167309158526,-9687.751959231293
"(1, 0, 1)","(3, 3, 1, 4)",0.24861466080046424,-8185.365541323013
"(1, 0, 1)","(3, 3, 2, 4)",0.3969643003082145,-8262.917721984635
"(1, 0, 1)","(3, 3, 3, 4)",0.3248939107920824,-8320.655984597643
"(1, 0, 1)","(3, 3, 4, 4)",0.2731853427175103,-8282.330783258589
"(1, 0, 1)","(3, 4, 1, 4)",8.112721271862505,-7446.1440981311025
